Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
161,1,141.9,4,1,3,413,Potential Loyalists
164,1,27.19,4,1,1,411,Potential Loyalists
586,1,86.22,1,1,2,112,At Risk
370,1,43.62,2,1,1,211,At Risk
337,1,196.89,2,1,4,214,At Risk
195,1,166.98,3,1,3,313,Potential Loyalists
181,1,35.38,3,1,1,311,Potential Loyalists
232,1,419.18,3,1,4,314,Potential Loyalists
592,1,150.12,1,1,3,113,At Risk
220,1,129.76,3,1,3,313,Potential Loyalists
457,1,29.0,1,1,1,111,At Risk
333,1,126.26,2,1,3,213,At Risk
208,1,63.66,3,1,2,312,Potential Loyalists
178,1,82.05,3,1,2,312,Potential Loyalists
433,1,91.28,1,1,2,112,At Risk
384,1,46.85,2,1,1,211,At Risk
309,1,29.0,2,1,1,211,At Risk
283,1,36.68,2,1,1,211,At Risk
426,1,257.44,1,1,4,114,At Risk
115,1,78.42,4,1,2,412,Potential Loyalists
58,1,27.75,4,1,1,411,Potential Loyalists
151,1,20.75,4,1,1,411,Potential Loyalists
84,1,362.38,4,1,4,414,Potential Loyalists
464,1,325.93,1,1,4,114,At Risk
227,1,61.8,3,1,1,311,Potential Loyalists
413,1,212.16,1,1,4,114,At Risk
634,1,76.11,1,1,2,112,At Risk
542,1,297.14,1,1,4,114,At Risk
477,1,192.83,1,1,4,114,At Risk
439,1,117.94,1,1,3,113,At Risk
366,1,155.65,2,1,3,213,At Risk
272,1,99.82,2,1,2,212,At Risk
76,1,74.82,4,1,2,412,Potential Loyalists
66,2,244.14,4,4,4,444,Champions
547,1,58.86,1,1,1,111,At Risk
427,1,91.21,1,1,2,112,At Risk
54,1,164.81,4,1,3,413,Potential Loyalists
82,1,37.58,4,1,1,411,Potential Loyalists
237,1,27.0,3,1,1,311,Potential Loyalists
249,1,87.71,3,1,2,312,Potential Loyalists
170,1,197.27,3,1,4,314,Potential Loyalists
475,1,36.73,1,1,1,111,At Risk
98,1,161.71,4,1,3,413,Potential Loyalists
150,1,24.23,4,1,1,411,Potential Loyalists
345,1,116.23,2,1,3,213,At Risk
314,1,135.08,2,1,3,213,At Risk
118,1,63.33,4,1,2,412,Potential Loyalists
577,1,35.84,1,1,1,111,At Risk
571,1,237.81,1,1,4,114,At Risk
113,1,124.32,4,1,3,413,Potential Loyalists
203,1,107.44,3,1,2,312,Potential Loyalists
70,1,92.18,4,1,2,412,Potential Loyalists
138,1,57.73,4,1,1,411,Potential Loyalists
86,1,214.08,4,1,4,414,Potential Loyalists
207,1,46.78,3,1,1,311,Potential Loyalists
309,1,354.87,2,1,4,214,At Risk
284,1,118.2,2,1,3,213,At Risk
356,1,257.87,2,1,4,214,At Risk
350,1,52.38,2,1,1,211,At Risk
233,1,217.74,3,1,4,314,Potential Loyalists
374,1,218.66,2,1,4,214,At Risk
624,1,64.42,1,1,2,112,At Risk
316,1,38.09,2,1,1,211,At Risk
351,1,228.67,2,1,4,214,At Risk
275,1,28.76,2,1,1,211,At Risk
513,1,130.56,1,1,3,113,At Risk
189,1,52.38,3,1,1,311,Potential Loyalists
453,1,137.99,1,1,3,113,At Risk
261,1,109.79,3,1,3,313,Potential Loyalists
245,1,114.04,3,1,3,313,Potential Loyalists
354,1,77.57,2,1,2,212,At Risk
415,1,62.47,1,1,1,111,At Risk
96,1,536.6,4,1,4,414,Potential Loyalists
483,1,109.78,1,1,3,113,At Risk
742,1,144.94,1,1,3,113,At Risk
94,1,62.45,4,1,1,411,Potential Loyalists
114,1,425.04,4,1,4,414,Potential Loyalists
101,1,226.23,4,1,4,414,Potential Loyalists
164,1,44.23,4,1,1,411,Potential Loyalists
159,1,546.12,4,1,4,414,Potential Loyalists
